budget,log_budget,popularity,log_popularity,vote_average,vote_count,log_vote_count,runtime,release_year,release_month,release_quarter,release_dow,genre_count,prod_company_count,cast_size,star_power_count,season_winter,season_spring,season_summer,season_fall,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,pc_Warner_Bros.,pc_Universal_Pictures,pc_Paramount_Pictures,pc_Twentieth_Century_Fox_Film_Corporation,pc_Columbia_Pictures,pc_New_Line_Cinema,pc_Metro-Goldwyn-Mayer_(MGM),pc_Touchstone_Pictures,pc_Walt_Disney_Pictures,pc_Relativity_Media
180000000.0,19.00846741441004,42.741719,3.7783023148879034,5.5,2430.0,7.796057974316123,109.0,2016.0,6.0,2.0,2.0,2,7,34,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000000.0,19.00846741441004,67.391328,4.2252460329650505,6.7,2629.0,7.874739125171811,143.0,2005.0,12.0,4.0,2.0,3,2,24,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178000000.0,18.997294113874336,139.272042,4.943583694264458,6.4,4721.0,8.459987717645458,144.0,2016.0,5.0,2.0,2.0,1,6,95,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185000000.0,19.035866388448003,143.34728766999996,4.97222211597744,8.2,7486.709999999994,8.921018288774976,152.0,2008.0,7.0,3.0,2.0,4,5,134,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,92.201962,4.534768772972112,7.7,6870.0,8.835064935031076,96.0,2009.0,5.0,2.0,2.0,4,1,16,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,36.167578,3.615436822110821,6.0,1423.0,7.261225091971921,94.0,2009.0,3.0,1.0,3.0,4,1,28,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140000000.0,18.757152987716434,120.725053,4.801764837476351,7.4,7486.709999999994,8.921018288774976,126.0,2008.0,4.0,2.0,2.0,3,1,87,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000000.0,18.951309000896888,32.319043,3.5061290953975766,7.0,2141.0,7.669495251007694,126.0,2011.0,11.0,4.0,1.0,3,3,28,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170000000.0,18.951309000896888,40.748915,3.731673462935218,5.1,1020.0,6.928537818164665,106.0,1999.0,6.0,2.0,1.0,5,4,29,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145000000.0,18.7922443072814,60.034162,4.11143374020036,5.2,1387.0,7.23561914106675,112.0,2008.0,7.0,3.0,1.0,3,5,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
175000000.0,18.980296537602072,90.23792,4.51347060013748,5.9,7458.0,8.917176635955164,123.0,2016.0,8.0,3.0,1.0,5,5,128,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,27.082182,3.335135282691319,5.3,1151.0,7.049254841255837,96.0,2007.0,6.0,2.0,5.0,3,7,18,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
178000000.0,18.997294113874336,79.456485,4.387716479263615,7.6,4858.0,8.488587934405903,113.0,2014.0,5.0,2.0,1.0,2,6,40,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,44.640292,3.8207909228699903,5.9,992.0,6.900730664045173,135.0,1995.0,7.0,3.0,4.0,2,4,15,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,32.852443,3.5220111680982233,5.6,1962.0,7.5822291942764615,118.0,2009.0,8.0,3.0,1.0,4,5,23,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175000000.0,18.980296537602072,128.655964,4.864884511697978,8.0,6560.0,8.788898309344878,94.0,2015.0,6.0,2.0,1.0,4,2,65,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
